YEAR,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20
January 2000,100.41,101.03,101.10,101.45,100.66,100.87,99.94,100.08,100.37,100.56,100.92,100.15,100.19,100.66,100.40,100.34,100.53,100.59,100.71,101.08,100.75,100.59
February 2000,100.94,102.04,102.41,104.17,101.65,101.70,100.47,100.79,101.28,101.41,101.89,100.87,100.97,101.10,100.90,101.24,100.51,101.25,103.04,101.66,101.89,101.69
March 2000,101.72,103.22,104.09,107.34,102.73,102.89,101.09,101.45,101.77,102.43,102.65,101.37,101.63,101.14,101.44,102.06,101.17,101.56,102.71,102.94,103.15,102.78
April 2000,102.27,104.16,105.71,110.63,103.54,103.95,102.01,102.31,102.69,103.41,104.35,101.76,102.97,102.27,101.59,103.13,101.74,102.18,103.28,103.48,104.53,104.00
May 2000,102.99,104.92,107.13,113.80,105.30,104.92,102.75,103.39,103.26,104.39,106.01,102.58,104.41,102.24,102.05,104.92,102.16,102.08,103.72,104.22,106.01,105.25
June 2000,103.70,105.69,108.97,116.82,106.91,105.72,103.40,104.23,104.13,105.51,107.93,103.28,105.61,102.69,102.28,106.06,102.04,102.19,103.62,104.43,107.34,106.40
July 2000,104.08,106.32,110.32,117.86,108.30,106.71,103.69,105.03,104.31,106.03,108.92,103.99,106.39,102.25,102.67,107.02,101.93,102.40,104.05,104.94,108.17,107.13
August 2000,104.50,106.97,111.67,119.05,109.30,107.79,104.36,105.41,104.69,106.42,110.13,104.23,107.36,102.53,103.22,108.02,102.19,102.65,104.36,105.22,109.07,107.86
September 2000,104.97,107.89,112.66,120.41,110.55,108.99,105.11,105.91,104.77,106.71,111.37,104.65,108.47,102.52,103.89,108.83,102.52,102.81,105.08,105.63,110.03,108.61
October 2000,105.33,108.81,113.47,123.25,111.73,109.87,106.09,106.51,105.41,106.98,112.97,105.06,109.63,102.86,104.68,109.79,103.20,103.03,105.51,105.82,111.17,109.49
November 2000,105.80,109.98,115.25,126.44,113.10,111.09,107.42,108.19,106.03,107.47,114.77,106.10,111.16,103.18,105.04,110.64,103.56,103.34,106.28,106.40,112.50,110.57
December 2000,106.01,110.72,116.96,130.06,114.54,112.40,108.66,109.81,106.56,108.15,116.95,106.68,111.73,103.00,105.52,111.84,104.22,104.11,106.57,107.29,113.93,111.80
January 2001,106.40,112.03,118.90,133.04,115.51,113.79,110.24,110.90,107.06,108.92,118.84,107.33,113.35,103.54,105.77,112.94,104.54,104.60,107.24,107.77,115.43,113.05
February 2001,106.88,112.90,120.14,135.07,116.88,115.39,111.07,111.71,107.42,109.52,120.41,107.50,114.50,103.87,106.17,114.25,104.85,104.85,108.37,107.91,116.69,114.13
March 2001,107.46,114.18,122.32,134.94,117.24,116.84,112.27,112.41,107.93,110.36,121.56,108.04,116.39,104.00,106.99,115.31,104.97,105.10,109.08,108.14,117.72,115.09
April 2001,108.08,114.64,123.36,133.86,118.52,118.63,113.53,113.45,108.33,111.29,122.74,108.39,117.27,103.87,107.95,116.36,104.78,105.42,109.90,109.03,118.50,115.84
May 2001,108.70,115.26,124.28,132.66,119.25,119.26,114.77,113.77,108.63,112.09,123.18,108.85,118.28,104.22,108.74,116.98,105.25,105.96,110.06,109.24,118.95,116.30
June 2001,109.02,115.74,124.52,130.83,119.97,120.25,115.90,115.20,109.30,113.22,124.44,109.14,119.68,104.32,109.51,118.07,105.68,106.59,110.48,109.74,119.50,116.90
July 2001,109.51,116.38,125.29,129.28,120.39,121.08,117.13,116.16,109.67,114.21,125.60,109.66,121.26,104.83,110.30,119.22,106.47,107.34,110.42,109.99,120.10,117.50
August 2001,109.86,117.36,125.87,128.33,120.96,122.09,118.29,117.85,110.18,115.25,126.94,110.41,122.12,104.63,110.97,120.59,106.98,108.02,110.63,110.55,120.95,118.25
September 2001,110.28,118.34,126.98,128.18,121.51,123.10,119.52,118.12,110.66,116.09,128.15,110.85,123.20,104.73,111.70,121.98,107.27,108.34,110.52,111.21,121.95,119.03
October 2001,110.75,119.32,128.15,128.21,121.70,124.13,121.09,118.88,111.05,116.52,129.13,111.10,124.10,104.53,112.08,123.10,107.01,108.53,111.20,111.60,122.81,119.69
November 2001,111.10,120.30,129.35,127.68,121.64,125.05,122.72,119.54,111.17,116.80,130.18,110.93,125.28,104.50,112.97,124.41,106.77,108.44,111.45,112.04,123.62,120.27
December 2001,111.65,121.29,129.99,126.84,121.62,126.18,123.76,119.89,111.29,117.09,130.51,111.25,125.97,104.61,113.52,124.58,106.37,108.41,111.99,112.07,124.02,120.67
January 2002,112.16,122.71,130.32,126.84,122.10,127.25,124.49,120.40,111.66,117.50,131.35,111.47,126.42,104.78,114.45,125.38,106.88,108.93,112.54,112.84,124.83,121.36
February 2002,112.79,123.99,131.73,127.61,122.39,128.82,125.42,120.70,112.27,118.12,131.77,112.14,126.98,105.26,115.00,126.10,107.42,109.53,112.75,113.26,125.76,122.19
March 2002,113.21,125.46,133.19,129.56,123.10,130.14,126.65,122.96,112.80,118.73,132.97,112.33,128.13,105.61,115.41,127.31,107.97,111.13,113.24,113.57,127.04,123.32
April 2002,113.68,126.85,135.65,132.11,123.33,131.63,128.10,123.71,112.75,119.64,134.53,112.32,128.99,106.16,115.40,128.69,108.36,111.06,113.37,113.52,128.54,124.51
May 2002,114.19,128.69,138.13,134.75,124.01,133.30,129.80,124.95,112.93,120.34,136.68,112.81,130.22,106.14,115.87,130.48,108.59,111.53,113.47,113.73,130.34,125.93
June 2002,114.68,130.78,140.54,137.57,124.25,134.84,131.57,125.60,113.25,121.05,138.77,113.38,131.20,106.21,116.34,132.49,109.15,111.30,113.19,114.05,132.22,127.39
July 2002,114.99,132.86,142.87,139.37,124.68,137.00,133.48,126.85,113.66,121.86,140.54,114.03,132.29,106.15,116.83,134.86,109.46,112.27,113.18,114.46,134.10,128.88
August 2002,115.29,135.09,145.70,141.11,124.61,138.96,134.90,127.75,114.02,122.63,142.31,114.55,133.28,106.73,117.27,137.01,109.49,112.02,113.56,114.76,135.96,130.31
September 2002,115.54,137.24,148.04,141.85,124.67,140.80,136.58,128.57,114.16,123.48,144.20,114.80,133.90,107.06,117.80,138.83,109.41,112.21,113.74,115.05,137.61,131.53
October 2002,115.82,139.72,150.59,142.82,125.00,142.45,138.26,129.20,114.60,124.35,145.85,114.88,135.26,107.31,119.16,140.81,109.58,112.33,113.86,115.44,139.37,132.84
November 2002,116.24,141.82,153.05,143.63,125.55,143.86,139.85,130.26,114.92,125.32,147.41,115.53,136.13,107.34,120.60,142.85,109.77,113.00,113.86,115.91,141.01,134.09
December 2002,116.71,143.98,155.20,143.82,125.71,145.59,141.70,131.83,115.25,126.36,147.86,115.61,137.91,107.71,122.00,144.92,110.23,113.80,114.19,116.63,142.56,135.40
January 2003,117.71,145.75,157.30,143.73,125.62,146.68,143.77,133.27,115.65,127.22,148.52,115.71,138.86,108.38,122.92,146.64,110.89,114.61,114.71,116.85,143.86,136.47
February 2003,118.61,147.30,158.50,143.85,125.60,147.93,145.86,134.66,115.96,128.21,149.70,115.33,140.04,108.75,123.74,147.93,111.70,115.40,114.82,117.48,145.04,137.46
March 2003,119.57,148.88,159.70,143.95,126.11,148.71,147.39,135.52,116.77,129.50,150.97,116.16,140.57,108.43,124.34,149.19,112.05,116.00,113.96,117.98,146.14,138.39
April 2003,119.90,150.48,161.10,144.30,125.92,149.94,148.70,136.63,116.56,129.79,151.64,117.12,141.52,107.99,125.29,150.34,112.60,116.39,113.58,118.47,147.14,139.25
May 2003,120.28,152.29,162.58,144.37,125.78,151.37,149.81,138.12,116.85,130.53,151.88,118.10,142.25,107.71,125.97,151.49,112.98,116.93,113.63,118.89,148.19,140.15
June 2003,120.67,154.07,164.20,144.84,125.08,152.99,150.72,138.67,116.82,131.03,152.38,117.84,142.59,108.04,126.95,152.24,113.36,117.67,114.16,119.36,149.13,140.92
July 2003,121.28,157.02,166.36,146.18,125.17,154.71,152.78,139.35,117.03,131.70,152.90,117.80,143.80,108.15,128.36,153.29,113.79,118.32,114.35,119.97,150.65,142.12
August 2003,122.10,160.11,169.43,147.80,125.60,156.79,155.04,139.69,117.32,132.19,153.57,117.84,144.78,108.67,130.43,154.50,114.41,118.88,114.36,121.02,152.44,143.55
September 2003,123.04,163.59,173.15,149.65,125.83,159.26,157.04,141.85,117.72,133.28,154.60,118.13,145.89,108.61,132.70,156.37,115.09,119.45,114.39,121.71,154.66,145.26
October 2003,123.91,167.06,177.15,151.55,126.30,161.69,159.08,143.28,118.03,134.44,155.90,118.80,146.96,109.96,135.70,157.98,115.73,120.34,114.50,122.84,156.81,146.99
November 2003,124.97,170.75,181.12,153.73,126.79,164.16,160.76,144.88,118.45,135.65,157.68,119.12,148.04,110.61,138.80,160.02,116.15,121.40,114.63,123.52,159.17,148.82
December 2003,126.24,174.78,185.05,155.98,127.26,166.52,162.59,145.23,118.69,137.04,159.30,119.45,148.75,111.19,143.07,161.90,116.38,122.38,114.42,124.84,161.64,150.75
January 2004,127.29,178.77,188.63,157.84,128.08,169.53,164.82,148.00,119.30,138.02,160.56,119.77,150.00,110.49,147.24,163.65,116.46,123.14,114.93,125.58,164.01,152.62
February 2004,128.40,182.91,192.67,159.95,128.65,171.77,167.03,149.52,119.58,138.76,161.99,119.99,151.26,110.71,151.62,165.45,116.85,123.92,115.36,126.58,166.42,154.54
March 2004,129.64,188.79,199.06,162.21,129.25,174.68,170.31,152.67,120.21,139.62,163.26,120.93,152.79,111.29,159.84,167.43,117.10,124.19,114.50,127.49,169.49,156.96
April 2004,130.93,194.50,204.92,164.53,129.29,177.85,173.11,153.24,120.82,140.18,165.54,121.37,154.47,112.10,167.51,169.14,118.02,125.68,114.71,128.60,172.48,159.35
May 2004,132.45,199.74,211.08,166.80,129.31,182.00,176.66,155.37,120.93,141.47,166.18,122.16,154.93,112.52,175.43,171.14,117.88,126.62,115.15,129.88,175.54,161.75
June 2004,133.93,205.30,216.72,169.84,129.84,186.73,179.84,157.84,120.89,142.32,167.52,121.82,156.23,112.62,185.01,173.34,117.92,127.52,115.50,131.10,178.84,164.30
July 2004,135.80,209.32,221.87,172.10,129.97,189.90,183.32,159.95,121.29,143.25,168.15,121.61,156.54,112.74,193.60,175.65,117.91,128.46,115.78,132.27,181.53,166.38
August 2004,137.57,211.16,225.12,174.54,130.35,193.05,186.69,162.56,121.72,143.85,169.29,121.61,157.31,112.52,199.40,177.32,118.07,129.63,115.91,133.13,183.54,168.07
September 2004,140.57,212.72,227.99,177.06,130.51,196.12,190.32,165.06,122.24,145.18,170.15,121.80,157.32,112.60,203.02,179.14,118.53,131.17,115.94,134.25,185.52,169.65
October 2004,143.81,213.87,230.26,180.05,131.26,199.55,193.54,167.96,122.73,146.16,172.04,122.12,158.18,113.04,205.27,181.13,118.63,132.72,116.22,135.25,187.44,171.29
November 2004,147.69,215.99,231.78,183.27,131.86,203.15,197.07,170.59,123.23,147.25,173.05,122.45,158.85,113.82,206.86,182.93,119.31,134.09,116.46,137.29,189.49,173.07
December 2004,152.13,218.10,234.30,187.10,132.75,206.97,200.85,173.57,123.94,148.56,174.31,122.71,159.66,114.75,208.17,184.61,119.76,135.21,117.03,139.11,191.75,175.07
January 2005,156.33,221.44,236.70,191.60,133.40,210.80,205.32,177.24,124.64,150.03,175.73,123.26,161.39,115.13,209.16,187.18,121.14,136.77,117.56,141.62,194.60,177.54
February 2005,161.66,225.20,239.03,196.00,134.38,215.14,210.02,180.84,125.45,151.81,177.94,123.95,162.68,115.64,211.65,189.80,121.90,138.28,118.27,143.02,197.78,180.25
March 2005,167.81,229.75,239.92,200.46,134.66,221.04,215.94,185.28,126.23,154.01,179.47,124.73,163.76,115.45,213.66,193.10,121.63,140.21,118.95,145.27,201.31,183.28
April 2005,174.65,233.45,241.30,202.31,135.10,225.77,222.35,188.47,126.96,154.61,180.51,125.52,165.11,115.49,216.19,195.16,121.89,142.11,119.04,146.78,203.82,185.50
May 2005,181.12,237.12,242.33,204.83,135.13,229.73,227.79,192.03,127.29,155.27,180.73,126.50,165.16,116.02,217.99,196.73,121.91,144.48,119.28,148.78,206.08,187.55
June 2005,188.96,240.62,243.65,207.20,134.94,233.78,233.95,196.81,127.82,156.08,180.10,125.90,165.41,116.99,219.48,198.19,121.61,147.57,119.00,150.80,208.22,189.52
July 2005,196.17,244.30,244.51,209.32,134.97,236.81,239.22,201.11,127.77,156.65,180.02,125.27,165.21,117.69,220.47,199.81,121.45,150.42,119.38,152.84,210.28,191.37
August 2005,203.01,248.31,245.50,210.72,135.23,238.99,244.93,206.34,127.93,156.57,179.71,124.68,165.33,118.51,222.03,201.57,121.42,153.42,119.56,155.12,212.33,193.37
September 2005,209.58,252.86,245.95,212.81,135.90,241.38,250.57,211.66,127.95,157.99,180.15,124.66,165.61,118.60,223.78,204.10,121.65,156.47,120.33,157.56,214.96,195.61
October 2005,213.63,257.75,247.70,214.14,136.60,243.79,255.88,217.90,128.86,159.16,179.99,125.13,166.90,119.92,225.58,206.69,121.99,159.08,120.92,159.85,217.45,197.87
November 2005,217.37,261.58,249.57,215.45,137.21,246.21,259.91,222.59,129.74,161.33,180.79,125.69,168.25,120.36,227.90,209.33,122.48,161.76,122.10,162.49,219.93,200.12
December 2005,220.12,265.36,249.87,216.37,137.91,248.42,263.88,226.01,130.70,162.55,180.44,126.35,169.30,121.54,229.85,212.06,122.84,164.20,122.83,164.83,222.16,202.15
January 2006,222.99,268.15,250.56,217.36,138.80,250.25,267.94,229.51,131.70,164.44,180.58,126.87,170.10,121.02,232.27,213.51,123.37,167.09,123.44,167.40,223.87,203.75
February 2006,225.25,271.22,251.38,218.77,139.33,251.97,271.98,232.29,132.33,165.90,179.54,127.29,171.47,122.13,234.34,215.06,123.30,169.66,123.49,169.40,225.63,205.35
