symbol,name,ask ($),bid ($),52 week low ($),52 week high ($),market cap (billion $),p/e ratio,average daily volume
"MMM","3M Company Common",96.00,66.12,68.63,98.19,56.068,13.66,4976110
"ACE","Ace Limited Commo",70.36,64.43,56.90,73.76,23.328,12.64,2513830
"ABT","Abbott Laboratori",55.48,55.45,45.07,55.61,86.364,18.92,8819710
"ANF","Abercrombie & Fit",49.00,47.34,44.22,78.25,4.173,21.65,3068980
"ADBE","Adobe Systems Inc",30.10,0.00,22.67,35.99,13.730,15.58,6888080
"AMD","Advanced Micro De",5.08,5.07,4.31,9.58,3.540,3.69,20485600
"AES","The AES Corporati",12.16,10.87,9.00,13.50,8.896,,6522610
"AET","Aetna Inc. Common",42.42,39.15,30.35,46.01,15.238,8.86,4244130
"AFL","AFLAC Incorporate",42.00,40.75,31.25,59.54,19.474,10.37,4722230
"A","Agilent Technolog",35.50,33.25,28.67,55.33,11.923,12.13,4572940
"APD","Air Products and ",87.00,79.05,72.26,98.00,17.738,15.06,1284510
"ARG","Airgas, Inc. Comm",80.68,77.66,58.00,79.19,5.960,23.80,699917
"AKS","AK Steel Holding ",8.05,7.75,5.51,17.88,0.8910,,9669180
"AKAM","Akamai Technologi",27.81,20.05,18.25,52.72,4.785,27.26,4845480
"AA","Alcoa Inc. Common",8.85,8.83,8.45,18.47,9.419,9.32,35940000
"ATI","Allegheny Technol",47.52,44.22,30.79,73.53,4.875,24.28,2420610
"AGN","Allergan, Inc. Co",101.92,82.02,68.03,89.25,26.526,29.63,1907310
"ALL","Allstate Corporat",27.20,26.00,22.27,34.40,13.720,39.43,5236130
"ALTR","Altera Corporatio",36.70,0.00,30.39,49.59,11.455,13.88,5474850
"MO","Altria Group, Inc",30.55,29.63,23.20,30.40,62.257,17.87,14368400
"AMZN","Amazon.com, Inc.",175.40,173.00,160.59,246.71,79.286,96.22,7075590
"AEE","Ameren Corporatio",32.88,31.50,25.55,34.11,7.897,14.16,2235600
"AEP","American Electric",41.09,39.50,33.09,40.99,19.727,10.63,3806660
"AXP","American Express ",48.97,46.00,41.30,53.80,55.159,12.01,8263830
"AIG","American Internat",24.20,23.54,19.18,62.87,45.733,5.39,6829880
"AMT","American Tower Co",59.50,58.40,45.85,60.00,23.342,86.67,3238980
"AMP","Ameriprise Financ",50.42,47.55,36.00,65.12,11.175,11.21,2830010
"ABC","AmerisourceBergen",38.12,35.99,33.91,43.47,9.569,14.61,2588250
"AMGN","Amgen Inc.",63.30,61.68,47.66,63.27,55.345,15.15,8316600
"APH","Amphenol Corporat",46.39,42.62,38.98,59.11,7.301,14.09,1624050
"APC","Anadarko Petroleu",76.07,75.23,57.11,85.50,37.741,,4585410
"ADI","Analog Devices, I",35.33,33.87,29.23,43.28,10.464,12.55,3826470
"AON","Aon Corporation C",47.38,44.69,39.68,54.58,14.968,16.86,2917820
"APA","Apache Corporatio",89.80,89.35,73.04,134.13,34.423,8.60,3448430
"AIV","Apartment Investm",23.68,22.55,20.08,28.12,2.746,,2320050
"APOL","Apollo Group, Inc",69.45,0.00,34.43,54.23,6.810,12.84,1806820
"AAPL","Apple Inc.",397.90,397.39,310.50,426.70,368.5,14.30,17655800
"AMAT","Applied Materials",11.75,0.00,9.70,16.93,13.317,7.18,16607000
"ADM","Archer-Daniels-Mi",29.00,27.58,23.69,38.02,19.151,8.69,5048730
"AIZ","Assurant, Inc. Co",41.25,38.87,30.65,41.90,3.716,20.27,988908
"T","AT&T Inc.",29.37,28.31,27.20,31.94,173.6,14.77,29053800
"ADSK","Autodesk, Inc.",49.45,0.00,22.99,46.15,6.874,26.94,3647040
"ADP","Automatic Data Pr",53.97,52.82,44.72,55.12,26.219,20.87,3066100
"AN","AutoNation, Inc. ",37.59,34.84,27.32,41.55,5.147,19.37,1088780
"AZO","AutoZone, Inc. Co",333.50,317.51,246.26,343.90,12.988,15.89,340545
"AVB","AvalonBay Communi",132.79,125.34,107.54,139.91,12.259,78.65,902894
"AVY","Avery Dennison Co",28.49,26.87,23.52,43.52,2.968,10.57,1523390
"AVP","Avon Products, In",17.25,16.45,16.09,31.60,7.396,9.94,6357240
"BHI","Baker Hughes Inco",48.96,48.52,41.91,81.00,21.282,11.93,6767670
"BLL","Ball Corporation ",35.95,34.10,29.69,40.56,5.762,13.15,1483830
"BAC","Bank of America C",5.21,5.20,4.92,15.31,53.011,,271967008
"BK","Bank of New York ",24.97,17.26,17.10,32.50,23.707,9.06,11675300
"BCR","C.R. Bard, Inc. C",112.87,81.14,80.80,113.84,7.209,22.57,835491
"BAX","Baxter Internatio",50.52,47.60,47.55,62.50,27.894,12.96,4074870
"BBT","BB&T Corporation ",24.85,23.78,18.92,29.60,17.254,15.73,7175200
"BDX","Becton, Dickinson",75.51,71.60,69.59,89.75,15.822,13.00,1739510
"BBBY","Bed Bath & Beyond",61.51,58.25,44.79,63.83,14.747,17.53,2440420
"BMS","Bemis Company, In",30.46,28.72,27.21,34.40,3.044,14.90,947017
"BRK.B","BRK.B",,,,,,,0
"BBY","Best Buy Co., Inc",23.17,22.90,21.79,36.33,8.230,7.96,6844120
"BIG","Big Lots, Inc. Co",40.00,36.66,28.89,44.44,2.506,13.52,1447210
"BIIB","Biogen Idec Inc",0.00,109.33,64.28,120.66,27.083,23.06,1874850
"BLK","BlackRock, Inc. C",176.79,167.05,137.00,209.77,31.006,13.67,911416
"HRB","H&R Block, Inc. C",16.35,15.29,11.43,18.00,4.566,14.20,3272530
"BMC","BMC Software, Inc",35.18,32.88,32.71,56.55,5.617,14.09,2696870
"BA","Boeing Company (T",73.67,73.50,56.01,80.65,54.695,14.33,6038880
"BXP","Boston Properties",99.00,97.50,81.52,112.84,14.453,89.04,1302010
"BSX","Boston Scientific",5.32,5.07,5.01,7.96,7.719,13.59,21873700
"BMY","Bristol-Myers Squ",38.00,34.21,24.97,35.29,59.800,18.07,13063800
"BRCM","Broadcom Corporat",30.43,27.80,27.59,47.39,15.572,17.49,8657040
"BF.B","BF.B",,,,,,,0
"CHRW","C.H. Robinson Wor",70.10,66.06,62.30,82.61,11.244,26.55,1111040
"CA","CA Inc.",20.80,0.00,18.61,25.68,9.897,12.14,4000570
"CVC","Cablevision Syste",14.40,13.00,11.57,38.08,3.862,11.20,3513190
"COG","Cabot Oil & Gas C",78.12,75.25,36.29,90.00,8.083,56.29,2218550
"CAM","Cameron Internati",50.35,48.73,38.77,63.16,12.194,20.92,3333330
"CPB","Campbell Soup Com",33.75,32.01,29.69,35.66,10.642,13.67,2338510
"COF","Capital One Finan",43.67,41.56,35.94,56.26,19.129,5.59,5893870
"CAH","Cardinal Health, ",41.88,39.54,37.53,47.06,14.041,15.96,2833250
"CFN","CareFusion Corpor",25.39,23.93,22.01,29.97,5.534,20.61,1768390
"KMX","CarMax Inc",39.24,29.35,22.77,37.02,6.646,17.45,2823170
"CCL","Carnival Corporat",34.19,32.50,28.52,48.14,25.634,13.38,4855030
"CAT","Caterpillar, Inc.",94.27,91.76,67.54,116.55,59.250,14.02,9827830
"CBG","CBRE Group Inc Co",25.53,14.65,12.30,29.88,4.917,19.21,5722740
"CBS","CBS Corporation C",26.50,25.50,17.99,29.68,17.100,14.70,8916050
"CELG","Celgene Corporati",0.00,64.26,48.92,68.25,29.544,27.95,3612370
"CNP","CenterPoint Energ",19.88,18.94,15.09,21.47,8.416,6.14,4438410
"CTL","CenturyLink, Inc.",38.00,36.60,31.16,46.78,22.567,23.72,6665790
"CERN","Cerner Corporatio",70.00,58.01,46.03,74.39,10.108,36.30,1567700
"CF","CF Industries Hol",139.00,135.00,115.34,192.70,9.168,7.59,2307690
"SCHW","Charles Schwab Co",11.48,10.62,10.56,19.69,14.211,16.89,14264500
"CHK","Chesapeake Energy",25.03,21.21,22.00,35.95,14.704,11.48,12733600
"CVX","Chevron Corporati",105.69,92.50,86.68,110.01,210.0,7.68,10103600
"CB","Chubb Corporation",70.26,66.35,55.39,70.07,19.165,10.98,2428010
"CI","Cigna Corporation",43.91,41.18,36.16,52.95,11.406,7.67,3487810
"CINF","Cincinnati Financ",30.83,29.12,23.65,34.33,4.882,30.61,1693850
"CTAS","Cintas Corporatio",34.54,0.00,26.39,34.62,4.435,17.50,1272600
"CSCO","Cisco Systems, In",18.23,17.90,13.30,22.34,96.335,15.89,55419000
"C","Citigroup, Inc. N",26.65,25.83,21.40,51.50,76.309,6.92,60064700
"CTXS","Citrix Systems, I",0.00,56.84,50.21,88.49,10.903,35.23,2448370
"CLF","Cliffs Natural Re",74.39,62.38,47.31,102.48,9.118,4.93,4484540
"CLX","Clorox Company (T",65.80,64.94,60.56,75.44,8.640,18.86,1238900
"CME","CME Group Inc.",284.50,2.25,235.23,327.98,16.023,13.15,703106
"CMS","CMS Energy Corpor",22.00,20.87,16.96,21.75,5.481,14.08,3163240
"COH","Coach, Inc. Commo",60.83,59.22,45.70,69.20,17.472,19.42,3310970
"KO","Coca-Cola Company",69.71,62.35,61.29,71.77,158.0,12.58,9118490
"CCE","Coca-Cola Enterpr",26.67,21.68,23.03,29.99,8.122,11.78,3042720
"CTSH","Cognizant Technol",63.81,63.00,53.54,83.48,19.178,24.78,2938130
"CL","Colgate-Palmolive",93.22,71.07,74.86,94.89,45.249,18.39,2438530
"CMCSA","Comcast Corporati",26.00,22.72,19.19,27.16,64.279,16.83,19259500
"CMA","Comerica Incorpor",25.68,24.26,21.48,43.53,5.019,11.77,4175440
"CSC","Computer Sciences",26.36,24.55,22.80,56.61,3.980,,2317190
"CPWR","Compuware Corpora",8.75,7.28,6.97,12.25,1.784,16.97,1926470
"CAG","ConAgra Foods, In",26.60,25.25,22.20,26.60,10.968,14.89,4382570
"COP","ConocoPhillips Co",76.70,70.39,58.65,81.80,93.765,8.95,9105960
"CNX","CONSOL Energy Inc",42.50,35.86,30.56,56.32,8.191,15.29,3648000
"ED","Consolidated Edis",62.00,60.00,48.55,61.88,18.084,16.37,2041850
"STZ","Constellation Bra",20.89,19.40,16.42,23.19,4.130,6.35,2098900
"CEG","Constellation Ene",39.81,39.01,29.70,40.97,7.982,19.20,2500520
"GLW","Corning Incorpora",14.50,12.39,11.51,23.43,19.723,5.94,22615400
"COST","Costco Wholesale ",0.00,70.51,69.54,88.68,36.383,25.18,2667910
"CVH","Coventry Health C",31.77,28.03,25.78,37.86,4.458,7.59,1359190
"COV","Covidien plc. Ord",51.00,42.05,41.35,57.65,21.299,11.80,3841340
"CSX","CSX Corporation C",21.35,20.85,17.69,27.06,22.070,12.89,9775800
"CMI","Cummins Inc. Comm",88.37,87.71,79.53,121.49,16.802,10.54,3347690
"CVS","CVS Caremark Corp",44.45,40.30,31.30,40.59,52.664,15.88,10940700
"DHI","D.R. Horton, Inc.",12.97,11.60,8.03,13.50,4.039,54.04,7331320
"DHR","Danaher Corporati",48.10,46.45,39.34,56.09,32.354,16.01,3986340
"DRI","Darden Restaurant",44.70,43.96,40.69,53.81,5.892,13.02,2606940
"DVA","DaVita Inc. Commo",115.33,61.75,59.14,89.76,7.008,18.20,1205800
"DF","Dean Foods Compan",11.22,10.38,7.83,13.90,2.054,,2664340
"DE","Deere & Company C",79.50,76.81,59.92,99.80,31.237,11.56,4987600
"DELL","Dell Inc.",16.50,13.70,12.99,17.60,26.409,7.80,22746900
"DNR","Denbury Resources",16.50,13.68,10.20,26.03,6.153,11.54,6706900
"XRAY","DENTSPLY Internat",41.99,34.25,28.35,40.37,5.004,18.74,1464990
"DVN","Devon Energy Corp",62.75,60.18,50.74,93.56,25.223,5.43,3836090
"DV","DeVry Inc. Common",37.69,33.60,32.73,66.85,2.457,7.88,938828
"DO","Diamond Offshore ",56.99,55.75,51.16,81.19,7.790,7.63,1884420
"DTV","DIRECTV",44.27,42.76,39.41,53.40,30.333,13.43,6875970
"DFS","Discover Financia",24.62,23.75,18.05,27.92,13.285,6.45,6982810
"DISCA","Discovery Communi",41.75,36.82,34.75,45.81,15.930,16.91,1710770
"D","Dominion Resource",53.00,52.36,42.06,52.84,30.070,19.96,2890470
"RRD","R.R. Donnelley & ",19.51,0.00,12.90,21.34,2.723,12.52,3091850
"DOV","Dover Corporation",58.50,53.68,43.64,70.15,10.655,13.47,2012200
"DOW","Dow Chemical Comp",27.33,21.00,20.61,42.23,32.240,11.04,11592800
"DPS","Dr Pepper Snapple",39.44,37.92,33.68,43.13,8.429,15.96,1891750
"DTE","DTE Energy Compan",55.71,52.26,43.22,54.38,9.182,12.76,1207090
"DD","E.I. du Pont de N",46.37,44.95,37.10,57.00,41.743,12.22,8203120
"DUK","Duke Energy Corpo",21.79,21.50,16.87,21.69,28.854,15.48,14375100
"DNB","Dun & Bradstreet ",73.84,70.26,58.50,87.08,3.539,13.96,500909
"ETFC","E*TRADE Financial",9.10,7.59,7.42,18.13,2.245,15.46,7709420
"EMN","Eastman Chemical ",39.36,37.12,32.445,55.36,5.309,9.16,1943150
"ETN","Eaton Corporation",43.90,35.76,33.09,56.49,14.605,11.81,4072620
"EBAY","eBay Inc.",31.00,0.00,26.86,35.35,39.167,22.34,12145300
"ECL","Ecolab Inc. Commo",57.47,54.29,43.81,57.60,13.032,26.05,3210290
"EIX","Edison Internatio",40.97,38.26,32.64,41.57,13.251,13.54,2257120
"EW","Edwards Lifescien",70.60,45.51,61.59,91.82,7.989,35.42,1231390
"EP","El Paso Corporati",25.80,25.37,13.42,25.81,19.889,730.00,14154000
"EA","Electronic Arts I",20.30,18.30,14.80,26.13,,,7167220
"EMC","EMC Corporation C",23.95,21.00,19.84,28.73,43.920,22.33,22077300
"EMR","Emerson Electric ",48.37,40.60,39.50,62.24,34.558,15.17,5276730
"ETR","Entergy Corporati",73.84,71.67,57.60,74.50,12.814,9.09,1621420
"EOG","EOG Resources, In",98.18,88.34,66.81,121.44,26.396,25.12,3045670
"EQT","EQT Corporation C",62.75,55.80,43.18,73.10,8.339,17.76,1922610
"EFX","Equifax, Inc. Com",39.25,36.93,28.59,39.90,4.633,21.67,885283
"EQR","Equity Residentia",58.31,55.04,48.46,63.86,16.771,17.27,2546840
"EL","Estee Lauder Comp",112.41,107.27,79.13,120.73,21.320,27.76,1400860
"EXC","Exelon Corporatio",44.78,42.76,39.06,45.45,28.761,11.66,6223110
"EXPE","Expedia, Inc.",28.00,20.00,27.28,65.78,,,2315340
"EXPD","Expeditors Intern",41.85,0.00,38.25,56.19,8.504,22.36,1866060
"ESRX","Express Scripts, ",46.86,37.25,34.47,60.89,21.664,17.54,7800660
"XOM","Exxon Mobil Corpo",83.29,83.10,67.03,88.23,398.4,9.90,23071000
"FFIV","F5 Networks, Inc.",105.00,98.11,69.01,145.76,8.118,36.96,2098310
"FDO","Family Dollar Sto",59.00,58.11,41.31,60.53,6.845,18.58,1155690
"FAST","Fastenal Company",43.77,41.64,28.805,43.45,12.729,38.26,2568190
"FII","Federated Investo",19.07,14.40,14.36,28.57,1.510,9.42,2010250
"FDX","FedEx Corporation",84.56,83.80,64.07,98.66,26.620,15.24,3003150
"FIS","Fidelity National",26.51,25.04,22.53,33.76,7.804,17.26,2049410
"FITB","Fifth Third Banco",13.10,0.00,9.13,15.75,11.488,10.24,16137900
"FHN","First Horizon Nat",12.00,7.09,5.38,12.67,2.062,41.45,5353570
"FSLR","First Solar, Inc.",36.50,30.37,29.87,175.45,2.748,5.40,4529880
"FE","FirstEnergy Corpo",44.88,42.40,36.11,46.51,18.531,17.40,3084380
"FISV","Fiserv, Inc.",59.71,56.37,48.75,65.41,8.230,19.10,1155390
"FLIR","FLIR Systems, Inc",25.96,24.48,21.86,37.29,3.962,19.33,1285350
"FLS","Flowserve Corpora",102.00,80.00,66.84,135.72,5.583,13.64,630498
"FLR","Fluor Corporation",50.21,45.05,44.16,75.76,8.347,15.57,2432360
"FMC","FMC Corporation C",88.29,80.00,63.81,93.00,6.052,26.59,605889
"FTI","FMC Technologies,",55.71,51.40,34.46,54.88,12.307,31.14,2785810
"F","Ford Motor Compan",10.91,10.41,9.05,18.97,40.509,6.20,62561800
"FRX","Forest Laboratori",37.77,28.69,28.47,40.52,7.948,7.29,2544080
"BEAM","Beam Inc. Common ",54.00,46.08,42.30,65.48,7.810,8.61,915598
"BEN","Franklin Resource",110.00,92.07,87.71,137.56,20.488,11.05,1664330
"FCX","Freeport-McMoRan ",39.20,37.56,28.85,61.345,35.784,6.57,23474200
"FTR","Frontier Communic",5.30,4.73,4.79,9.84,5.085,30.84,14360600
"GME","Gamestop Corporat",23.90,22.00,18.34,28.66,3.211,8.42,3531960
"GCI","Gannett Co., Inc.",13.33,12.09,8.28,18.93,3.162,6.20,4944980
"GPS","Gap, Inc. (The) C",18.54,17.73,15.08,23.73,9.039,10.59,5971150
"GD","General Dynamics ",66.77,62.47,53.95,78.27,23.069,9.12,2086380
"GE","General Electric ",17.79,15.38,14.02,21.65,186.8,13.22,69513504
"GIS","General Mills, In",45.00,38.48,34.54,40.72,25.841,15.05,4540500
"GPC","Genuine Parts Com",60.86,57.26,46.10,60.96,9.335,17.07,1038720
"GNW","Genworth Financia",6.10,5.94,4.80,14.77,2.946,,10723800
"GILD","Gilead Sciences, ",0.00,37.41,34.45,43.49,29.182,11.15,8836940
"GS","Goldman Sachs Gro",94.65,91.90,84.27,175.34,45.293,13.84,8170790
"GR","Goodrich Corporat",124.00,122.00,79.71,123.54,15.426,21.82,3282860
"GT","Goodyear Tire & R",13.86,12.90,8.53,18.83,3.382,25.34,5991710
"GOOG","Google Inc.",633.97,563.65,473.02,642.96,202.7,21.49,3170510
"GWW","W.W. Grainger, In",191.41,183.41,124.33,191.84,13.075,21.07,565198
"HAL","Halliburton Compa",33.77,33.04,27.21,57.77,31.037,12.04,20287500
"HOG","Harley-Davidson, ",38.11,28.87,31.50,46.88,8.802,19.85,2409130
"HAR","Harman Internatio",38.29,35.00,25.53,52.54,2.574,16.76,885738
"HRS","Harris Corporatio",36.76,35.45,32.68,53.39,4.105,8.10,1146050
"HIG","Hartford Financia",16.49,14.60,14.56,31.08,7.248,6.89,9232040
"HAS","Hasbro, Inc.",33.30,31.72,31.36,49.63,4.278,11.80,1774150
"HCP","HCP, Inc. Common ",40.67,38.41,28.76,40.87,16.332,17.04,3605580
"HCN","Health Care REIT,",53.97,50.99,41.03,55.21,9.439,49.95,2378770
"HNZ","H.J. Heinz Compan",53.95,23.04,46.99,55.00,17.222,17.92,2158740
"HP","Helmerich & Payne",63.00,55.08,35.58,73.40,6.184,14.57,1915320
"HES","Hess Corporation ",71.79,55.83,46.66,87.40,18.990,9.90,4135930
"HPQ","Hewlett-Packard C",25.61,25.01,21.50,49.39,50.600,7.80,23155200
"HD","Home Depot, Inc. ",42.10,41.78,28.13,42.05,64.746,18.08,11995800
"HON","Honeywell Interna",54.99,48.78,41.22,62.28,41.916,15.71,5155850
"HRL","Hormel Foods Corp",30.60,26.90,24.515,30.50,7.754,16.62,1059570
"HSP","Hospira Inc",29.79,28.09,26.92,59.20,4.823,18.59,2546480
"HST","Host Hotels & Res",14.94,13.37,9.78,19.88,10.099,,9472700
"HCBK","Hudson City Banco",9.99,5.85,5.09,13.26,3.066,,5857170
"HUM","Humana Inc. Commo",91.28,81.96,54.35,90.76,14.377,11.02,1766310
"HBAN","Huntington Bancsh",6.46,4.56,4.46,7.70,4.675,10.35,15674100
"ITW","Illinois Tool Wor",47.85,42.55,39.12,59.27,22.565,11.86,3990040
"TEG","Integrys Energy G",53.15,51.46,42.76,54.02,4.145,16.05,584934
"INTC","Intel Corporation",23.73,22.53,19.16,25.78,120.6,10.32,63217300
"ICE","IntercontinentalE",120.49,113.69,102.57,135.38,8.613,18.42,736300
"IBM","International Bus",181.90,180.59,145.00,194.90,213.9,14.76,5866260
"IFF","Internationa Flav",54.03,50.82,51.20,66.29,4.220,14.35,956803
"IGT","International Gam",21.65,15.68,13.38,19.15,4.771,16.89,4070210
"IP","International Pap",29.00,27.80,21.55,33.01,12.548,8.90,5514850
"IPG","Interpublic Group",10.05,8.54,6.73,13.35,4.340,10.96,7974830
"INTU","Intuit Inc.",54.51,51.48,39.87,56.46,15.775,26.28,2375330
"ISRG","Intuitive Surgica",0.00,400.05,255.02,449.06,17.186,38.32,359027
"IVZ","Invesco Plc New C",20.51,18.88,14.52,27.50,8.867,13.01,6044910
"IRM","Iron Mountain Inc",31.46,29.67,24.28,35.79,5.687,15.54,2061140
"XYL","Xylem Inc. Common",26.82,24.00,22.67,28.28,4.599,13.85,1647910
"JBL","Jabil Circuit, In",19.48,2.04,13.94,23.09,4.039,11.53,4535090
"JEC","Jacobs Engineerin",41.75,24.74,30.74,55.73,5.139,15.48,1613070
"CBE","Cooper Industries",54.12,51.37,41.15,70.00,8.454,10.98,1970580
"JDSU","JDS Uniphase Corp",11.50,0.00,8.59,29.12,2.246,35.38,6693070
"JNJ","Johnson & Johnson",65.36,61.53,57.50,68.05,177.5,15.74,11716000
"JCI","Johnson Controls,",29.88,25.74,24.29,42.92,20.330,12.50,5827700
"JOY","Joy Global Inc. C",79.55,74.65,57.48,103.44,7.948,13.40,2324240
